Demand for New England (region) hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3389942&sdid=EBA.NE-ALL.D.H
12:32:10 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.NE-ALL.D.H megawatthours
05/10/2022 10H,10331
05/10/2022 09H,9570
05/10/2022 08H,9508
05/10/2022 07H,9403
05/10/2022 06H,9376
05/10/2022 05H,9949
05/10/2022 04H,10362
05/10/2022 03H,11279
05/10/2022 02H,12342
05/10/2022 01H,13058
05/10/2022 00H,12891
05/9/2022 23H,12417
05/9/2022 22H,11351
05/9/2022 21H,10479
05/9/2022 20H,10106
05/9/2022 19H,9907
05/9/2022 18H,10036
05/9/2022 17H,10159
05/9/2022 16H,10066
05/9/2022 15H,10352
05/9/2022 14H,10489
05/9/2022 13H,10975
05/9/2022 12H,11796
05/9/2022 11H,11626
05/9/2022 10H,10515
05/9/2022 09H,9661
05/9/2022 08H,9289
05/9/2022 07H,9232
05/9/2022 06H,9332
05/9/2022 05H,9601
05/9/2022 04H,10122
05/9/2022 03H,10950
05/9/2022 02H,11836
05/9/2022 01H,12328
05/9/2022 00H,11989
05/8/2022 23H,11371
05/8/2022 22H,10442
05/8/2022 21H,9903
05/8/2022 20H,9154
05/8/2022 19H,8798
05/8/2022 18H,8710
05/8/2022 17H,8942
05/8/2022 16H,8926
05/8/2022 15H,8966
05/8/2022 14H,9237
05/8/2022 13H,9652
05/8/2022 12H,9797
05/8/2022 11H,9547
05/8/2022 10H,9392
05/8/2022 09H,9205
05/8/2022 08H,9129
05/8/2022 07H,9205
05/8/2022 06H,9418
05/8/2022 05H,9796
05/8/2022 04H,10365
05/8/2022 03H,11124
05/8/2022 02H,11860
05/8/2022 01H,12338
05/8/2022 00H,12195
05/7/2022 23H,11872
05/7/2022 22H,11338
05/7/2022 21H,10853
05/7/2022 20H,10437
05/7/2022 19H,10249
05/7/2022 18H,10247
05/7/2022 17H,10514
05/7/2022 16H,10846
05/7/2022 15H,10805
05/7/2022 14H,10578
05/7/2022 13H,10546
05/7/2022 12H,10257
05/7/2022 11H,9792
05/7/2022 10H,9594
05/7/2022 09H,9285
05/7/2022 08H,9183
05/7/2022 07H,9265
05/7/2022 06H,9238
05/7/2022 05H,9607
05/7/2022 04H,10236
05/7/2022 03H,11101
05/7/2022 02H,11937
05/7/2022 01H,12519
05/7/2022 00H,12510
05/6/2022 23H,12376
05/6/2022 22H,12222
05/6/2022 21H,11832
05/6/2022 20H,11547
05/6/2022 19H,11479
05/6/2022 18H,11136
05/6/2022 17H,11044
05/6/2022 16H,11080
